City,Country,Lat,Long,Temp_max,Humidity,Cloudiness,Wind_Speed
Avarua,CK,-21.21,-159.78,73.4,88,87,9.17
Goderich,CA,43.75,-81.72,78.01,72,0,5.75
Vaini,TO,-21.2,-175.2,69.8,94,75,4.7
Ponta do Sol,PT,32.67,-17.1,75,77,19,3
La Ronge,CA,55.1,-105.28,59,67,40,11.41
Bull Savanna,JM,17.89,-77.59,85.64,66,20,13.29
Hutchinson,US,38.06,-97.93,87.01,45,1,16.11
Carteret,US,40.58,-74.23,79,50,1,4.7
Punta Arenas,CL,-53.15,-70.92,53.6,54,99,33.33
Hirado,JP,33.36,129.55,72,45,100,10
Vao,NC,-22.67,167.48,73.31,85,47,17.16
Bam,IR,29.11,58.36,70.88,18,0,7.27
Hilo,US,19.73,-155.09,75,88,75,6.93
Vila Franca do Campo,PT,37.72,-25.43,69.8,73,75,12.75
Hithadhoo,MV,-0.6,73.08,82.81,65,6,4.03
Kavieng,PG,-2.57,150.8,83.21,68,79,8.72
Valente,BR,-11.41,-39.46,84.43,43,35,16.06
Dikson,RU,73.51,80.55,43.16,69,84,24.83
Klaksvík,FO,62.23,-6.59,44.6,81,48,11.41
Portland,US,45.52,-122.68,59,87,90,14.99
Albany,US,42.6,-73.97,79,61,11,4.41
Esperance,AU,-33.87,121.9,48.2,87,40,12.75
Khatanga,RU,71.97,102.5,38.97,85,99,8.52
Arraial do Cabo,BR,-22.97,-42.03,82.4,74,0,12.75
Praia da Vitória,PT,38.73,-27.07,70,77,75,13.49
Qaanaaq,GL,77.48,-69.36,16.88,84,0,3.8
Manavālakurichi,IN,8.13,77.3,80.6,88,75,2.24
Jamestown,US,42.1,-79.24,79,56,1,6.93
Mataura,NZ,-46.19,168.86,41,93,90,3
Kosum Phisai,TH,16.25,103.07,82.4,88,40,3.36
Bose,IT,45.46,8.01,55,70,82,4.7
Port Elizabeth,ZA,-33.92,25.57,60.8,77,40,33.33
George Town,MY,5.41,100.34,77,94,40,4.7
Rikitea,PF,-23.12,-134.97,73.2,84,71,13.62
Busselton,AU,-33.65,115.33,55.99,75,2,3.51
Ossora,RU,59.24,163.07,35.58,82,36,10.02
Muli,MV,2.92,73.57,82.27,76,43,6.82
Barrow,US,71.29,-156.79,32,96,90,17.22
Sompeta,IN,18.93,84.6,80.8,85,100,12.75
Bagdarin,RU,54.43,113.6,43.05,90,100,3.62
Dunmore Town,BS,25.5,-76.65,82.74,79,88,11.23
Hermanus,ZA,-34.42,19.23,54,71,90,3
Yellowknife,CA,62.46,-114.35,46.4,93,90,8.05
Atuona,PF,-9.8,-139.03,77.92,76,15,17.81
East London,ZA,-33.02,27.91,60.8,67,85,11.41
São João da Barra,BR,-21.64,-41.05,82.4,61,20,18.34
Mar del Plata,AR,-38,-57.56,62.01,100,90,12.75
Nanortalik,GL,60.14,-45.24,39.78,89,97,15.61
Hong Kong,HK,22.29,114.16,82,74,99,15.01
High Level,CA,58.52,-117.14,50,87,90,1.63
Barranca,PE,-10.75,-77.77,65.48,69,93,10.47
Narsaq,GL,60.92,-46.05,41,80,75,3.36
Lagoa,PT,39.05,-27.98,68.04,75,23,15.64
Kapaa,US,22.08,-159.32,80.6,69,40,13.87
Tuatapere,NZ,-46.13,167.68,41,93,94,3
Grand Gaube,MU,-20.01,57.66,69.01,72,34,1.99
Iqaluit,CA,63.75,-68.51,35.6,80,90,19.46
Cayenne,GF,4.93,-52.33,89.6,59,20,9.17
Tuktoyaktuk,CA,69.45,-133.04,35.6,100,90,16.11
Pevek,RU,69.7,170.31,32.95,95,100,8.1
Lavrentiya,RU,65.58,-171,33.21,90,0,7.81
Vallenar,CL,-28.57,-70.76,75.31,29,26,7.49
Bitkine,TD,11.98,18.21,82.2,61,87,5.97
Bluff,NZ,-46.6,168.33,41,93,88,3
Berlevåg,NO,70.86,29.09,50,81,75,23.04
Carnarvon,AU,-24.87,113.63,66.2,77,11,10.29
Takoradze,GH,4.88,-1.76,77.09,85,76,9.64
Ambilobe,MG,-13.2,49.05,72.39,58,46,7.07
Sørland,NO,67.67,12.69,42.8,75,40,19.46
La Palma,US,33.85,-118.05,75.99,60,1,4.7
Quang Ngai,VN,15.12,108.8,77.41,86,14,4.18
Ridgecrest,US,35.62,-117.67,80.01,22,0,3.67
Bredasdorp,ZA,-34.53,20.04,51.8,71,80,10.29
Hobart,AU,-42.88,147.33,46.4,87,90,4.7
Lata,PT,40.16,-8.33,66,71,29,5.99
Sioux Lookout,CA,50.1,-91.92,59,87,90,8.05
Terrace,CA,54.52,-128.6,48.2,93,75,23.04
Taltal,CL,-25.4,-70.48,62.76,63,89,5.91
Saint Paul Harbor,US,57.79,-152.41,48.2,81,90,10.29
Ushuaia,AR,-54.8,-68.3,50,43,40,19.46
Dunedin,NZ,-45.87,170.5,46.99,85,61,1.99
Kaitangata,NZ,-46.28,169.85,42.01,88,82,3
Ankazobe,MG,-18.32,47.12,59,82,20,10.29
Torbay,CA,47.67,-52.73,63,55,40,23.04
Castro,BR,-24.79,-50.01,81.86,30,6,3.44
Nanyang,CN,32.99,112.53,67.68,79,100,2.01
Chui,UY,-33.7,-53.46,66.42,65,72,8.34
Tombouctou,ML,20,-3,104.07,8,0,7.18
Bathsheba,BB,13.22,-59.52,89.6,66,40,11.41
Mahébourg,MU,-20.41,57.7,71.6,78,75,11.41
Severo-Kuril'sk,RU,50.68,156.12,46.26,72,6,15.66
Pisco,PE,-13.7,-76.22,66.99,77,20,10.29
New Norfolk,AU,-42.78,147.06,45,82,83,1.99
Puerto Ayora,EC,-0.74,-90.35,73,82,91,8.01
Makkah al Mukarramah,SA,21.43,39.83,86.31,40,0,2.15
Havelock,US,34.88,-76.9,79,78,90,8.05
Wanning,CN,18.8,110.4,79.59,80,99,1.97
Faya,SA,18.39,42.45,73.4,60,0,8.05
Ugento,IT,39.93,18.16,78.01,88,40,21.65
Yerbogachën,RU,61.28,108.01,38.32,88,0,7.36
Thompson,CA,55.74,-97.86,51.8,100,90,17.22
Wuwei,CN,37.93,102.64,61.56,44,0,3.06
Maniitsoq,GL,65.42,-52.9,39.97,92,100,13.67
Cidreira,BR,-30.18,-50.21,67.84,71,36,9.93
Saint-Philippe,RE,-21.36,55.77,69.8,73,20,10.22
Cape Town,ZA,-33.93,18.42,55.99,62,75,6.93
Lebu,CL,-37.62,-73.65,53.82,77,82,12.19
Broome,US,42.25,-75.83,79,53,1,9.17
Katsuura,JP,35.13,140.3,68,100,75,1.12
Soubre,CI,5.79,-6.61,76.08,95,87,3.36
Provideniya,RU,64.38,-173.3,32,91,0,6.51
Cabo San Lucas,MX,22.89,-109.91,91.99,49,5,2.24
Matagami,CA,49.75,-77.63,57.2,50,1,13.87
Kargasok,RU,59.06,80.86,39.13,84,100,9.33
Balakhninskiy,RU,58.01,114.28,42.08,81,64,3.4
Yar-Sale,RU,66.83,70.83,39.31,89,43,5.68
Camacha,PT,33.08,-16.33,73.4,78,75,16.11
Vardø,NO,70.37,31.11,53.6,81,40,36.91
Yermekeyevo,RU,54.08,53.67,49.5,62,33,5.1
Artigas,UY,-30.4,-56.47,82.22,63,78,10.71
Cherskiy,RU,68.75,161.3,39.22,94,100,13.73
Sirte,LY,31.21,16.59,87.51,39,1,9.33
Mnogovershinnyy,RU,53.94,139.92,39.07,100,45,3.33
New Richmond,US,45.12,-92.54,77,57,1,11.41
Baruun-Urt,MN,46.68,113.28,61.21,32,82,16.26
Oranjemund,NA,-28.55,16.43,57.7,78,11,9.22
Port Alfred,ZA,-33.59,26.89,62.4,65,16,16.84
Touros,BR,-5.2,-35.46,80.6,74,75,11.41
Gravdal,NO,68.12,13.5,42.8,81,75,14.99
Vanimo,PG,-2.67,141.3,79.41,83,100,4.85
Grand-Lahou,CI,5.14,-5.02,76.98,88,83,8.52
Neuquén,AR,-38.95,-68.06,77,25,15,4.7
Barhi,IN,23.9,80.8,74.75,83,58,4.5
Pemangkat,ID,1.17,108.97,78.3,85,100,4.52
Bengkulu,ID,-3.8,102.27,75.76,89,85,5.28
Lucea,JM,18.45,-78.17,89.6,66,20,12.75
Moba,CN,33.23,105.02,47.75,100,74,1.19
Nantucket,US,41.28,-70.1,69.8,77,1,10.29
Celestún,MX,20.87,-90.4,86.81,65,98,5.28
Margate,GB,51.38,1.39,55.99,46,100,13
Vidim,RU,56.41,103.11,47.26,92,100,9.37
Ţaga,RO,46.95,24.05,72,49,78,6.93
Atar,MR,20.52,-13.05,107.6,17,40,16.11
Half Moon Bay,US,37.46,-122.43,72,77,20,10.29
Brigantine,US,39.41,-74.36,71.6,73,20,6.93
Micheweni,TZ,-4.97,39.83,76.82,78,2,11.07
Sevsk,RU,52.15,34.49,61.75,50,53,11.18
Geraldton,AU,-28.77,114.6,53.6,93,0,6.93
Bilibino,RU,68.05,166.44,26.53,96,100,1.77
Tallahassee,US,30.44,-84.28,82.4,74,75,8.05
Tiksi,RU,71.69,128.87,40.59,69,4,11.01
Bethel,US,41.37,-73.41,79,50,1,4.34
Soyo,AO,-6.13,12.37,75.13,77,57,8.5
Olinda,BR,-8.01,-34.86,82.4,58,75,12.75
Clyde River,CA,70.47,-68.59,32,91,90,11.41
Nouadhibou,MR,20.93,-17.03,84.2,58,8,16.11
Nhulunbuy,AU,-12.23,136.77,75.2,88,39,4.7
San Patricio,MX,19.22,-104.7,91.4,70,40,11.41
Camocim,BR,-2.9,-40.84,85.17,62,37,18.54
Yārāda,IN,17.65,83.27,82.4,94,75,6.93
Farafangana,MG,-22.82,47.83,70.72,85,13,12.57
Riyadh,SA,24.69,46.72,93.2,16,4,6.93
Zhangye,CN,38.93,100.45,61.92,32,0,2.44
Murgab,TM,37.5,61.97,66.2,37,0,4.7
Lātehār,IN,23.75,84.5,74.79,94,100,5.7
Nome,US,64.5,-165.41,30.2,80,90,6.93
Lander,US,42.83,-108.73,69.8,28,1,8.28
Butaritari,KI,3.07,172.79,81.34,72,68,15.17
Bemidji,US,47.47,-94.88,62.01,100,40,8.05
Chigorodó,CO,7.67,-76.68,85.17,66,99,1.79
Lázaro Cárdenas,MX,17.96,-102.2,86.77,64,73,3.06
Pachino,IT,36.72,15.09,82,49,30,1.01
Dourbali,TD,11.81,15.86,84.07,58,88,9.13
Balud,PH,10.15,123.7,80.6,88,40,1.12
Chumphon,TH,10.33,98.83,74.86,94,89,1.95
Presidencia Roque Sáenz Peña,AR,-26.79,-60.44,102.9,21,1,15.7
Ostrovnoy,RU,68.05,39.51,54.66,86,64,23.67
Suba,PH,10.84,121.01,83.77,75,100,9.37
Mayna,RU,54.11,47.62,50.77,65,96,6.42
Kieta,PG,-6.22,155.63,79,76,100,2.13
Gazli,UZ,40.13,63.45,61.72,28,3,13.89
Biak,ID,-0.91,122.88,76.69,81,85,7
Upernavik,GL,72.79,-56.15,23.67,84,41,13.31
Zhangjiakou,CN,40.81,114.88,57.18,66,0,3.74
Adrar,MR,20.5,-10.07,104.43,10,2,10.85
Swan River,CA,52.11,-101.27,66.7,37,0,20.42
Saint George,US,37.1,-113.58,87.01,20,1,4.16
Wilkie,CA,52.42,-108.7,62.6,39,1,11.41
Englehart,CA,47.82,-79.87,57.2,71,75,6.93
Nelson Bay,AU,-32.72,152.15,50,66,12,21.92
Alofi,NU,-19.06,-169.92,71.6,88,82,11.41
Paamiut,GL,61.99,-49.67,40.59,83,79,31.92
Koumac,NC,-20.57,164.28,71.85,86,0,3.87
Port Macquarie,AU,-31.43,152.92,46.99,71,2,9.98
Faanui,PF,-16.48,-151.75,78.46,81,14,12.86
Aksu,CN,41.12,80.26,65.97,27,0,3.02
Sanghar,PK,26.05,68.95,87.8,62,0,9.17
Chokurdakh,RU,70.63,147.92,35.73,83,93,6.78
Masindi,UG,1.67,31.71,65.93,92,81,2.06
Esim,GH,4.87,-2.24,76.98,86,82,8.03
Yangi Marg`ilon,UZ,40.43,71.72,57.2,62,0,4.7
Saldanha,ZA,-33.01,17.94,55.4,76,59,3.36
Mount Gambier,AU,-37.83,140.77,44.6,81,75,18.34
Leningradskiy,RU,69.38,178.42,24.78,95,71,6.73
Stary Oskol,RU,51.3,37.84,63.5,40,9,9.84
Lagos,NG,6.58,3.75,80.6,78,20,3.36
Ribeira Grande,PT,38.52,-28.7,71.6,68,40,13.87
Tongchuanshi,CN,35.08,109.09,62.55,76,94,4.52
Yen Bai,VN,21.7,104.87,77.79,92,100,3.22
Port Lincoln,AU,-34.73,135.87,48.04,77,6,10.74
Camargo,MX,27.67,-105.17,84.18,26,0,2.51
Mandalgovi,MN,45.76,106.27,49.93,60,54,15.48
Santa Cruz de la Sierra,BO,-17.8,-63.17,96.8,41,0,20.8
Buala,SB,-8.14,159.59,80.08,80,84,5.44
Aracati,BR,-4.56,-37.77,85.77,56,2,17.16
Trbovlje,SI,46.16,15.05,60.01,91,98,2.21
Roald,NO,62.58,6.13,50,71,63,24.16
Virginia Beach,US,36.85,-75.98,68,91,100,6.6
Kayerkan,RU,69.35,87.76,41,100,90,11.18
Conde,BR,-7.26,-34.91,84.2,58,40,16.11
Dāmghān,IR,36.17,54.35,69.78,43,0,4.43
Nizhniy Kuranakh,RU,58.84,125.49,39.78,83,1,4.65
Port Blair,IN,11.67,92.75,81.25,81,92,8.01
Trat,TH,12.5,102.5,76.01,86,100,0.65
Neiafu,TO,-18.65,-173.98,73.4,83,75,6.93
Kiryat Gat,IL,31.61,34.76,80.01,75,0,3.56
Laas,IT,46.62,10.7,39.2,100,75,5.82
Bowen,AU,-20.02,148.23,67.93,91,0,4.97
Llata,PE,-9.42,-76.78,59.18,49,98,7.83
Ferme-Neuve,CA,46.7,-75.45,60.1,53,78,4.27
Linjiang,CN,41.81,126.91,49.42,85,2,1.63
Wairoa,NZ,-39.03,177.37,53.01,64,0,4
Amuntai,ID,-2.42,115.25,73.76,93,66,1.16
Port Pirie,AU,-33.18,138.02,41,86,38,5.82
Bambous Virieux,MU,-20.34,57.76,71.6,78,75,11.41
Tigil',RU,57.8,158.67,34.18,90,27,3.89
Māndvi,IN,22.83,69.37,82.89,76,45,14.83
Haines Junction,CA,60.75,-137.51,46.74,73,100,1.03
Tommot,RU,58.96,126.29,40.46,84,43,4.61
Birjand,IR,32.87,59.22,60.8,4,0,4.7
Hervey Bay,AU,-25.3,152.85,71.01,86,16,4
Lompoc,US,34.64,-120.46,68,68,1,11.41
Forest,US,37.36,-79.29,64.4,88,90,5.82
Anjiang,CN,27.32,110.1,64.38,92,100,2.66
Moerai,PF,-22.43,-151.33,74.23,87,46,10.8
Kalakamati,BW,-20.59,27.31,75.2,23,24,1.12
Krk,HR,45.03,14.57,64.99,87,75,12.75
Ginda,IN,30.69,78.49,59.27,77,2,3.87
Mingshui,CN,36.72,117.5,69.01,78,0,2.95
Arrondissement de Blois,FR,47.58,1.33,53.6,62,34,5.82
Pontes e Lacerda,BR,-15.23,-59.34,101.03,24,42,6.82
Verkhnevilyuysk,RU,63.45,120.32,41.07,81,25,6.91
Bairiki Village,KI,1.33,172.98,80.6,74,20,10.29
Bålsta,SE,59.57,17.53,55.99,71,75,11.41
Petropavlovsk-Kamchatskiy,RU,53.05,158.65,33.8,80,0,2.24
São Filipe,CV,14.9,-24.5,80.37,76,43,5.46
Balotra,IN,25.83,72.23,87.35,55,5,14.65
Manuk Mangkaw,PH,4.8,119.85,84.47,65,13,2.93
Fairlie,GB,55.76,-4.86,50,74,31,14.27